id,form,lemma,upos,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,Column15,BIO_gold,BIO_nested_gold,DIFF,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF,count_wrong,IOB,label,IOB_BERT,label_BERT,IOB_BERT2,label_BERT2,IOB_SpaCy,label_SpaCy,IOB_CRF,label_CRF
3,Otho,otho,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000099,B-PERS,O,DIFF,,ERROR,,ERROR,2.0,B,PERS,B,PERS,I,PERS,B,PERS,I,PERS
4,Uitellius,uitellius,PROPN,I-PERS,B-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000100,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,I,PERS
6,diui,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000137,O,O,DIFF,,ERROR,,,1.0,O,,O,,B,PERS,O,,O,
2,urbanus,urbanus,ADJ,O,B-GRP,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000536,O,O,DIFF,,ERROR,,,1.0,O,,O,,B,GRP,O,,O,
55,Sabini,sabinus,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000589,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
22,Neronis,nero,PROPN,B-PERS,O,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000709,B-PERS,O,DIFF,,ERROR,,ERROR,2.0,B,PERS,B,PERS,O,,B,PERS,B,GRP
41,Uindicis,uindex,PROPN,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0000772,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
17,Asiae,asia,PROPN,B-LOC,O,B-LOC,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001199,B-LOC,O,DIFF,,ERROR,,,1.0,B,LOC,B,LOC,O,,B,LOC,B,LOC
9,diuo,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001304,B-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,PERS,O,,B,PERS,O,,O,
10,Augusto,augustus,PROPN,O,I-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001305,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,O,,I,PERS,B,PERS,B,PERS
12,Romani,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001307,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
8,Macro,macer,PROPN,O,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001344,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,O,,I,PERS,B,PERS,I,PERS
8,Uinii,uinius,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001596,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
5,Germanicae,germanicus,ADJ,O,B-GRP,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0001703,B-GRP,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,GRP,O,,B,GRP,O,,B,LOC
12,diui,diuus,ADJ,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002445,B-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,PERS,O,,B,PERS,O,,O,
13,Augusti,augustus,PROPN,O,I-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002446,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,O,,I,PERS,B,PERS,B,PERS
4,Germanicae,germanicus,ADJ,B-PERS,I-LOC,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002589,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,B,PERS,I,LOC,O,,B,LOC
23,Germanicum,germanicus,ADJ,B-LOC,I-LOC,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002608,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,B,LOC,I,LOC,O,,B,GRP
4,Romani,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0002722,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
49,Proculo,proculus,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003196,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
6,Romani,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003262,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
4,Neronis,nero,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003296,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
19,Tiberianam,tiberianus,ADJ,O,B-PERS,B-PERS,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003496,B-LOC,Nested B-PER,DIFF,ERROR,ERROR,ERROR,,3.0,B,LOC,O,,B,PERS,B,PERS,B,LOC
29,Saturni,saturnus,PROPN,O,B-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003506,I-LOC,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,I,LOC,O,,B,PERS,B,PERS,B,PERS
9,Palatio,palatium,PROPN,O,B-LOC,O,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0003647,B-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,LOC,O,,B,LOC,O,,B,PERS
10,Dexter,dexter,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004035,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
11,Pompeius,pompeius,PROPN,O,B-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004036,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,I,PERS
2,classica,classicus,ADJ,B-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004076,O,O,DIFF,ERROR,,,,1.0,O,,B,PERS,O,,O,,O,
7,Illyrici,illyricus,ADJ,B-PERS,B-LOC,B-LOC,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004081,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,B,PERS,B,LOC,B,LOC,B,GRP
12,seruitia,seruitium,NOUN,B-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004173,O,O,DIFF,ERROR,,,,1.0,O,,B,PERS,O,,O,,O,
4,Uinium,uinius,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004299,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
9,Othonianis,othonianus,ADJ,I-PERS,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004383,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,I,PERS,B,PERS,B,PERS,B,GRP
3,Palatio,palatium,PROPN,O,B-LOC,O,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004465,B-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,LOC,O,,B,LOC,O,,B,PERS
12,Obultronii,obultronius,PROPN,O,B-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004726,B-PERS,O,DIFF,ERROR,,,,1.0,B,PERS,O,,B,PERS,B,PERS,B,PERS
18,Hispania,hispania,PROPN,O,B-LOC,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004732,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,O,,B,LOC,B,LOC,B,PERS
22,Gallia,gallia,PROPN,O,B-LOC,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004736,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,O,,B,LOC,B,LOC,B,PERS
26,Germania,germania,PROPN,O,B-LOC,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004740,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,O,,B,LOC,B,LOC,B,PERS
30,Africa,africa,PROPN,O,B-LOC,B-LOC,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004744,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,O,,B,LOC,B,LOC,B,GRP
10,Uergilionem,uergilio,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0005211,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
2,Curtii,curtius,PROPN,B-PERS,B-LOC,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0005236,B-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,LOC,B,PERS,B,LOC,B,PERS,B,GRP
8,euocatum,euoco,VERB,I-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0005295,O,O,DIFF,ERROR,,,,1.0,O,,I,PERS,O,,O,,O,
36,Britannicis,britannicus,ADJ,O,B-LOC,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0005469,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,O,,B,LOC,O,,B,GRP
6,Nero,nero,PROPN,I-PERS,B-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006007,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,I,PERS
2,Uinius,uinius,PROPN,B-PERS,O,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006027,I-PERS,O,DIFF,ERROR,ERROR,ERROR,,3.0,I,PERS,B,PERS,O,,B,PERS,I,PERS
5,maternus,maternus,ADJ,B-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006038,O,O,DIFF,ERROR,,,,1.0,O,,B,PERS,O,,O,,O,
20,seruili,seruilis,ADJ,B-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006101,O,O,DIFF,ERROR,,,,1.0,O,,B,PERS,O,,O,,O,
5,Narbonensem,narbonensis,ADJ,B-LOC,I-LOC,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006127,I-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,LOC,B,LOC,I,LOC,O,,O,
12,Argius,argius,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006172,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
7,Germanias,germania,PROPN,B-LOC,O,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006295,B-LOC,O,DIFF,,ERROR,ERROR,,2.0,B,LOC,B,LOC,O,,O,,B,LOC
17,Augusto,augustus,PROPN,O,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006428,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,O,,I,PERS,B,PERS,I,PERS
6,Uindice,uindex,PROPN,O,B-PERS,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006511,I-PERS,O,DIFF,ERROR,ERROR,ERROR,,3.0,I,PERS,O,,B,PERS,B,LOC,I,PERS
9,Alienus,alienus,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006819,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
27,inferioris,inferus,ADJ,B-LOC,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0006995,B-LOC,O,DIFF,,ERROR,ERROR,ERROR,3.0,B,LOC,B,LOC,O,,O,,O,
30,Uerginium,uerginius,PROPN,O,B-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007028,B-PERS,O,DIFF,ERROR,,,,1.0,B,PERS,O,,B,PERS,B,PERS,B,PERS
7,primani,primani,NOUN,I-PERS,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007190,O,O,DIFF,ERROR,,,,1.0,O,,I,PERS,O,,O,,O,
