id,form,lemma,upos,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,Column15,BIO_gold,BIO_nested_gold,DIFF,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF,count_wrong,IOB,label,IOB_BERT,label_BERT,IOB_BERT2,label_BERT2,IOB_SpaCy,label_SpaCy,IOB_CRF,label_CRF
5,Nonius,nonius,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007312,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
6,Receptus,receptus,PROPN,I-PERS,O,O,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007313,I-PERS,O,DIFF,,ERROR,ERROR,,2.0,I,PERS,I,PERS,O,,O,,I,PERS
11,Calpurnius,calpurnius,PROPN,I-PERS,B-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007318,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,I,PERS
3,Agrippinenses,agrippinenses,PROPN,B-GRP,I-LOC,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007478,B-GRP,O,DIFF,,ERROR,ERROR,ERROR,3.0,B,GRP,B,GRP,I,LOC,B,PERS,B,PERS
14,Romanos,romanus,ADJ,O,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007545,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,O,,B,GRP,O,,B,GRP
2,Donatium,donatius,PROPN,B-PERS,O,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007677,B-PERS,O,DIFF,,ERROR,,ERROR,2.0,B,PERS,B,PERS,O,,B,PERS,I,PERS
17,Galliae,gallia,PROPN,O,I-LOC,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007709,I-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,LOC,O,,I,LOC,B,LOC,I,PERS
20,Italica,italicus,ADJ,O,B-GRP,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007712,B-GRP,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,GRP,O,,B,GRP,O,,B,LOC
16,Ualens,ualens,PROPN,I-PERS,O,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007833,I-PERS,O,DIFF,,ERROR,ERROR,,2.0,I,PERS,I,PERS,O,,B,LOC,I,PERS
6,Caesarem,caesar,PROPN,O,B-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007986,O,O,DIFF,,ERROR,ERROR,ERROR,3.0,O,,O,,B,PERS,B,PERS,B,PERS
4,Ualenti,ualens,PROPN,O,I-PERS,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0007995,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,O,,I,PERS,B,LOC,I,PERS
9,Mediomatricorum,mediomatrici,PROPN,I-LOC,B-GRP,O,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008045,B-LOC,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,LOC,I,LOC,B,GRP,O,,I,PERS
4,Gallias,gallia,PROPN,B-GRP,B-LOC,B-LOC,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008097,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,B,GRP,B,LOC,B,LOC,B,GRP
3,Italica,italicus,ADJ,I-PERS,B-GRP,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008247,B-GRP,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,GRP,I,PERS,B,GRP,O,,B,LOC
6,Tauriana,taurianus,ADJ,B-PERS,I-LOC,B-LOC,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008250,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,B,PERS,I,LOC,B,LOC,B,LOC
4,Italicae,italicus,ADJ,O,B-LOC,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008263,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,O,,B,LOC,O,,B,LOC
5,Uiennensis,uiennenses,PROPN,B-LOC,I-LOC,B-LOC,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008291,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,B,LOC,I,LOC,B,LOC,B,LOC
4,Lugdunensium,lugdunenses,PROPN,I-LOC,B-GRP,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008314,B-GRP,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,GRP,I,LOC,B,GRP,B,LOC,B,PERS
13,Uiennensis,uiennenses,PROPN,O,B-LOC,B-LOC,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008323,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,O,,B,LOC,B,LOC,B,LOC
25,Uiennenses,uiennenses,PROPN,O,B-LOC,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008429,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,O,,B,LOC,B,PERS,B,GRP
3,Alpis,alpes,PROPN,B-LOC,O,B-LOC,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008554,B-LOC,O,DIFF,,ERROR,,ERROR,2.0,B,LOC,B,LOC,O,,B,LOC,B,GRP
31,Raetica,raeticus,ADJ,I-LOC,B-LOC,B-LOC,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008657,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,I,LOC,B,LOC,B,LOC,B,GRP
12,Seuerum,seuerus,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008679,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
3,ueteranos,ueteranus,NOUN,B-GRP,O,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008694,O,O,DIFF,ERROR,,,,1.0,O,,B,GRP,O,,O,,O,
38,Germanici,germanicus,ADJ,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0008938,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,O,,B,PERS,B,PERS,B,GRP
39,aquas,aqua,NOUN,O,I-LOC,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009314,I-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,LOC,O,,I,LOC,O,,O,
4,Uitellianis,uitellianus,ADJ,I-PERS,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009550,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,B,GRP
13,Othoniani,othonianus,ADJ,I-PERS,B-PERS,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009559,B-GRP,O,DIFF,ERROR,ERROR,ERROR,,3.0,B,GRP,I,PERS,B,PERS,O,,B,GRP
1,idem,idem,DET,O,B-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009617,O,O,DIFF,,ERROR,,,1.0,O,,O,,B,PERS,O,,O,
4,Syriae,syria,PROPN,O,B-LOC,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009702,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,O,,B,LOC,B,LOC,I,PERS
16,Orientem,oriens,PROPN,B-LOC,O,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009714,B-LOC,O,DIFF,,ERROR,,ERROR,2.0,B,LOC,B,LOC,O,,B,LOC,B,PERS
5,Carthagine,carthago,PROPN,B-PERS,B-LOC,B-LOC,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009723,B-LOC,O,DIFF,ERROR,,,ERROR,2.0,B,LOC,B,PERS,B,LOC,B,LOC,B,PERS
10,Aproniani,apronianus,PROPN,B-PERS,I-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009728,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,B,PERS,I,PERS,B,PERS,B,GRP
13,Crescens,crescens,PROPN,B-PERS,O,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009731,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,O,,B,PERS,B,PERS
11,Uerginio,uerginius,PROPN,B-PERS,I-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009805,B-PERS,O,DIFF,,ERROR,,,1.0,B,PERS,B,PERS,I,PERS,B,PERS,B,PERS
16,Germanico,germanicus,ADJ,B-LOC,I-LOC,O,B-LOC,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009810,B-GRP,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,B,GRP,B,LOC,I,LOC,O,,B,LOC
19,Uerginio,uerginius,PROPN,O,B-LOC,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009813,B-PERS,O,DIFF,ERROR,ERROR,,,2.0,B,PERS,O,,B,LOC,B,PERS,B,PERS
9,Hispalensibus,hispalenses,PROPN,I-LOC,B-GRP,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0009917,B-GRP,O,DIFF,ERROR,,ERROR,,2.0,B,GRP,I,LOC,B,GRP,O,,B,GRP
7,Sarmatarum,sarmatae,PROPN,B-GRP,O,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0010077,B-GRP,O,DIFF,,ERROR,ERROR,,2.0,B,GRP,B,GRP,O,,O,,B,GRP
2,Uitellio,uitellius,PROPN,O,B-PERS,B-PERS,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0010839,B-PERS,O,DIFF,ERROR,,,,1.0,B,PERS,O,,B,PERS,B,PERS,B,PERS
22,Uitellianarum,uitellianus,ADJ,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0010969,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
38,Uitellianos,uitellianus,ADJ,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011132,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
18,Iunonis,iuno,PROPN,O,B-LOC,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011251,I-LOC,Nested B-PER,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,I,LOC,O,,B,LOC,O,,B,GRP
24,Iulii,iulius,PROPN,B-PERS,I-PERS,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011257,I-PERS,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,PERS,B,PERS,I,PERS,O,,B,GRP
28,amnis,amnis,NOUN,O,I-LOC,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011261,O,O,DIFF,,ERROR,,,1.0,O,,O,,I,LOC,O,,O,
15,campus,campus,NOUN,O,B-LOC,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011370,B-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,B,LOC,O,,B,LOC,O,,O,
16,Martius,martius,ADJ,O,I-LOC,O,B-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011371,I-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,LOC,O,,I,LOC,O,,B,PERS
19,Flaminia,flaminius,ADJ,B-PERS,B-LOC,O,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011374,I-LOC,O,DIFF,ERROR,ERROR,ERROR,ERROR,4.0,I,LOC,B,PERS,B,LOC,O,,B,GRP
17,Uitellianis,uitellianus,ADJ,B-LOC,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011407,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,B,LOC,B,PERS,B,PERS,B,GRP
21,Galliam,gallia,PROPN,B-LOC,I-LOC,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011411,I-LOC,O,DIFF,ERROR,,ERROR,ERROR,3.0,I,LOC,B,LOC,I,LOC,B,LOC,I,PERS
4,Nouello,nouellus,PROPN,I-PERS,O,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011464,I-PERS,O,DIFF,,ERROR,ERROR,,2.0,I,PERS,I,PERS,O,,B,PERS,I,PERS
6,Clementi,clemens,PROPN,I-PERS,B-PERS,B-LOC,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011466,I-PERS,O,DIFF,,ERROR,ERROR,,2.0,I,PERS,I,PERS,B,PERS,B,LOC,I,PERS
6,Paulinus,paulinus,PROPN,B-PERS,I-PERS,B-PERS,I-PERS,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011492,I-PERS,O,DIFF,ERROR,,ERROR,,2.0,I,PERS,B,PERS,I,PERS,B,PERS,I,PERS
1,multos,multi,NOUN,O,I-PERS,O,O,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011557,O,O,DIFF,,ERROR,,,1.0,O,,O,,I,PERS,O,,O,
21,Caecina,caecina,PROPN,I-PERS,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011817,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,I,PERS,B,PERS,B,PERS,B,GRP
15,Uitellianas,uitellianus,ADJ,O,B-PERS,B-PERS,B-GRP,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0011867,B-PERS,O,DIFF,ERROR,,,ERROR,2.0,B,PERS,O,,B,PERS,B,PERS,B,GRP
